Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,CAN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.8,7.7,7.7,7.8,7.5,7.6,7.5,7.4,7.4,7.3,7.3,7.3,7.4,7.4,7.4,7.3,7.2,7.1,7.1,7,7.1,7,7.1,7,7,7,7.2,7.2,7.3,7.3,7.3,7,6.9,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7,7.1,7.2,7.1,7,7.1,7.1,7.2,7.3,7.4,7.4,7.5,7.7,7.6,0
Canada,CAN,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,14.56,16.47,16,15.7,14.69,15.33,15.93,14.38,13.6,12.81,12.68,13.27,13.5,13.67,12.91,12.45,11.74,11.22,14.53,15.25,15.41,15.36,15.01,14.22,14.13,13.73,12.51,12.19,11.52,18.44
Canada,CAN,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.56,81.37,79.95,79.25,78.7,78.33,78.48,78.33,77.46,77.7,77.13,77.03,77.67,77.14,77.21,76.45,75.39,75.73,75.42,74.23,73.58,73.55,72.71,71.63,71.33,70.51,70.32,70.08,68.38,69.09,67.26
Canada,CAN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.73,76.28,75.39,75.15,74.97,74.7,74.6,74.89,75.26,75.85,76.18,76.35,77.42,78.19,78.16,77.77,77.75,78.33,78.46,78.02,77.91,77.84,77.82,78.02,77.74,77.95,78.09,78.46,78.47,79.04,0
Canada,CAN,"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.95,89.42,88.81,88.58,88.39,87.79,86.79,86.68,87.1,87.67,88.82,88.5,88.6,88.72,88.52,88.61,88.58,88.6,88.13,88.46,88.52,88.53,88.22,88.31,88.07,88.26,88.14,87.88,88.05,0
Canada,CAN,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,3.02,2.97,2.95,3.04,3.08,3.18,3.14,3.18,3.26,2.92,2.95,2.86,2.96,3.05,3.04,2.84,2.83,2.75,2.69,2.78,2.6,2.63,2.61,2.7,2.61,2.59,2.71,2.59,0
Canada,CAN,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",SI.SPR.PC40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.41,0,0,0,0,29.44,0,0,0
Canada,CAN,Gini index (World Bank estimate),SI.POV.GINI,0,0,0,0,0,0,0,0,0,0,0,37.3,0,0,0,33.3,0,0,0,0,0,32.4,0,0,0,0,0,31.5,0,0,0,31,0,0,31.3,0,0,31.6,33.2,0,33.3,0,0,0,33.7,0,0,33.8,0,0,33.6,0,33.5,33.8,33.2,33.7,32.7,33.3,0,0,0
Canada,CAN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,15.93,15.91,15.25,15.29,15.37,15.87,15.6,15.49,15.15,15.49,15.07,14.87,14.5,14.6,14.61,15.47,15.28,14.99,14.91,0
Canada,CAN,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,2.9,3,3.3,3.2,3.7,4,4,4.3,4.4,0,0,0,0,3.5,3.3,3.4,3.8,0,3.5,0
Canada,CAN,"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0
Canada,CAN,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Children (0-14) living with HIV,SH.HIV.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,0,0,0,0,0,0,0,0,0,0,63.75,63.75,68.75,68.75,68.75,71.25,71.25,74.38,77.5,80.63,80.63,80.63,80.63,80.63,80.63,86.25,86.25,89.38,89.38,89.38,95,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,100,100
Canada,CAN,"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,33.81,33.77,0,0,0,0,0,0,0,0,0,0,0,0,49.34,47.73,47.67,49.36,49.36,49.36,49.36,49.36,47.39,0,0,0,0
Canada,CAN,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0,0
Canada,CAN,Progression to secondary school (%),SE.SEC.PROG.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Secondary education, general pupils",SE.SEC.ENRL.GC,0,0,0,0,0,0,0,0,0,0,0,2527143,2582284,2595716,2579041,2596732,2589862,2587871,2544408,2474183,2388308,2323228,2340255,2321381,2323105,2287746,2250941,2238224,2242938,2249305,2254654,2292497,2337513,2402531,2455427,2469552,2505389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618344,2578028,2537635,2518351,2515904,2524610,0,0,0
Canada,CAN,Lower secondary school starting age (years),SE.SEC.AGES,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Canada,CAN,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.96,95.5,94.85,94.83,95.24,95.25,95.28,94.92,96.08,98.11,97.88,95.86,94.91,94.1,95.01,0,98.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.31,95.74,97.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,0,0,0,0,0,0,0,0,0,0,-1357849000,-1476334000,-1492781000,-1832633000,-2331176000,-2683735000,-3665910000,-4755077000,-6180206000,-7739224000,-8667489000,-12300000000,-13407000000,-12346000000,-14297000000,-15282000000,-17723000000,-17705000000,-20295000000,-23091000000,-25026000000,-23257000000,-25754000000,-25391000000,-28366000000,-28648000000,-28568000000,-28133000000,-31645000000,-33925000000,-29021000000,-32227000000,-30204000000,-30864000000,-28790000000,-29067000000,-23816000000,-23223000000,-24346000000,-27056000000,-32928000000,-33509000000,-32422000000,-28972000000,-32235000000,-30492000000,-24747000000,-27223000000,-38012000000,-29689000000,-24643000000
Canada,CAN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,0,0,0,0,0,0,0,0,0,0,0,5.12,5.94,8.53,6.07,1.43,5.22,2.19,2.64,4.69,2.28,1.57,-4.02,3.36,5.32,4.5,0.93,5.2,4.85,2.63,-0.52,-2.24,0.25,2.4,4.13,3.83,2.33,4.14,2.03,5.74,7.9,1.16,2.22,3.68,4.91,4.54,3.4,3.12,2.46,-6.15,4.45,4.25,1.42,2.8,2.28,-1.55,0.97,4.18,2.39,2.08,-6.05
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31222.72,31830.62,32826.53,34121.61,34227.34,35015.79,36024.1,37086.45,38573.2,39776.18,42097.44,42063.63,40368.29,41155.32,42037,42315.81,42846.28,43635.1,43596.14,43536.91,44325.42,44917.37,45118.66,42294.23
Canada,CAN,Gross value added at basic prices (GVA) (current LCU),NY.GDP.FCST.CN,0,0,0,0,0,0,0,0,0,0,84655459000,92355941000,1.03E+11,1.21E+11,1.45E+11,1.66E+11,1.91E+11,2.11E+11,2.35E+11,2.69E+11,3.05E+11,3.44E+11,3.63E+11,3.96E+11,4.35E+11,4.69E+11,4.9E+11,5.33E+11,5.79E+11,6.18E+11,6.43E+11,6.48E+11,6.63E+11,6.89E+11,7.32E+11,7.69E+11,7.96E+11,8.38E+11,8.68E+11,9.3E+11,1.02E+12,1.06E+12,1.1E+12,1.16E+12,1.24E+12,1.32E+12,1.39E+12,1.47E+12,1.55E+12,1.47E+12,1.56E+12,1.66E+12,1.71E+12,1.78E+12,1.87E+12,1.86E+12,1.89E+12,2E+12,2.07E+12,2.15E+12,0
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,0,0,0,0,0,0,0,0,0,0,3442.46,3789.01,4292.24,4877.41,5767.54,6215.92,7300.17,7350.31,7498.93,8004.24,8842.46,9916.57,10018.82,10835.22,11205.01,11442.65,11816.09,13161.25,15227.42,16653.16,17217.19,17675.87,16782.12,16228.01,16059.64,16626.97,17026.14,17608.72,16843.16,17922.2,19538.27,19043.6,19643.24,22964.15,26105.64,29581.93,33140.43,36608.77,37863.16,33001.14,38702.43,42587.83,42991.14,43034.9,41604.75,35337.88,34316.45,36962.09,37739.02,37829.48,0
Canada,CAN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,0,0,0,14.13,14.53,15.85,16.17,17.43,17.66,18.24,16.66,16.9,17.1,16.72,16.58,16.69,16.59,16.94,17.42,17.57,16.49,17.81,17.49,18.23,20.01,20.21,19.05,17.76,18.57,19.7,22.86,23.12,23.79,25.3,25.89,26.55,27.05,28.64,29.19,33.12,31.74,28.99,28.68,27.26,25.99,26.47,26.07,27.17,25.34,24.97,24.79,25.05,25.58,25.51,26.04,26.74,25.65,25.01,24.51,24.51,0
Canada,CAN,Fi0cial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0,0,2.25,1.77,12.61,13.36,13.29,5.48,10.18,13.33,-1.54,6.61,14.32,14.41,10.08,-2.91,6.13,-0.36,3.14,7.17,-3.07,2.02,-15.88,10.11,17.38,8.26,6.57,5.4,13.53,5.81,1.94,2.51,5.13,7.48,8.3,5.78,5.36,14.36,5.3,8.06,8.49,-4.91,1.86,4.23,8.51,7.35,5.32,5.77,0.9,-12.39,13.79,5.59,3.71,2.08,2.53,0.75,0.05,4.63,3.35,0.36,-10.86
Canada,CAN,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,0,50701609320,53218848082,55191978612,62425665740,69198758987,76840738211,76909911619,77571277371,81293146505,81748679102,87684098157,91303894794,98795717096,1.04E+11,1.09E+11,1.15E+11,1.18E+11,1.21E+11,1.28E+11,1.35E+11,1.47E+11,1.31E+11,1.31E+11,1.33E+11,1.45E+11,1.5E+11,1.64E+11,1.79E+11,1.88E+11,1.82E+11,1.74E+11,1.69E+11,1.67E+11,1.78E+11,1.76E+11,1.86E+11,2.08E+11,2.14E+11,2.25E+11,2.37E+11,2.48E+11,2.51E+11,2.64E+11,2.86E+11,3.12E+11,3.32E+11,3.42E+11,3.48E+11,3.08E+11,3.44E+11,3.6E+11,3.78E+11,3.83E+11,3.92E+11,3.71E+11,3.54E+11,3.66E+11,3.72E+11,3.73E+11,3.64E+11
Canada,CAN,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,0,0,0,0,0,0,0,0,0,0,16.5,17.23,18.17,19.68,22.22,24.61,26.92,29.02,31.24,34.15,37.51,42.1,45.68,48.34,50.36,52.23,54.33,56.54,58.86,61.33,63.63,65.81,67.02,68.18,69.27,70.16,70.98,72.04,73.03,74.02,75.84,77.46,79.27,80.38,81.77,83.28,85.17,87.18,89.38,90.09,91.2,93.22,94.77,96.22,98.57,100,101.1,102.52,104.11,105.89,107.77
Canada,CAN,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,0,26299000000,28053000000,29903000000,32099000000,34787000000,38002000000,41106000000,44897000000,49008000000,51802000000,56403000000,63123000000,72146000000,84090000000,97192000000,1.11E+11,1.23E+11,1.38E+11,1.54E+11,1.72E+11,1.94E+11,2.08E+11,2.28E+11,2.48E+11,2.71E+11,2.92E+11,3.16E+11,3.41E+11,3.68E+11,3.88E+11,4.02E+11,4.15E+11,4.31E+11,4.48E+11,4.64E+11,4.85E+11,5.16E+11,5.37E+11,5.67E+11,6.03E+11,6.31E+11,6.69E+11,6.99E+11,7.31E+11,7.72E+11,8.14E+11,8.63E+11,9.02E+11,9.05E+11,9.5E+11,9.92E+11,1.02E+12,1.06E+12,1.11E+12,1.15E+12,1.18E+12,1.24E+12,1.29E+12,1.33E+12,1.26E+12
Canada,CAN,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.28,0.31,0.22,0.28,0.18,0.16,0.21,0.17,0.25,0.18,0.63,0.69,0.48,0.53,0.97,1.21,0.92,1.27,0.95,0.86,1.21,1.24,1.82,1.26,1.19,0.85,0.63,0.7,0.79,0.88,0.84,0.7,0.58,0.47,0.51,0.58,0.55,0.66,0.43,0.44,0.43,0.35,0.31,0.31,0.28,0.35,0.37,0.49,0.66,0.84,0.51,0.44,0.5,0.4,0.39,0.38,0.35,0.35,0.35,0.47,0
